college,score
Pauli Murray,80
Saybrook,72
Grace Hopper,52
Timothy Dwight,52
Benjamin Franklin,48
Morse,40
Davenport,28
Branford,24
Ezra Stiles,24
Silliman,16
Berkeley,8
Jonathan Edwards,8
Pierson,4
Trumbull,4
