college,score
Benjamin Franklin,0
Berkeley,0
Branford,0
Davenport,0
Ezra Stiles,0
Grace Hopper,0
Jonathan Edwards,0
Morse,0
Pierson,0
Pauli Murray,0
Silliman,0
Saybrook,0
Trumbull,0
Timothy Dwight,0
