college,score
Benjamin Franklin,40
Berkeley,48
Branford,24
Davenport,40
Ezra Stiles,8
Grace Hopper,19
Jonathan Edwards,11
Morse,32
Pierson,8
Pauli Murray,64
Silliman,0
Saybrook,16
Trumbull,56
Timothy Dwight,56
