college,score
Benjamin Franklin,30
Pauli Murray,30
Timothy Dwight,30
Davenport,24
Morse,18
Saybrook,18
Trumbull,18
Grace Hopper,12
Berkeley,6
Branford,6
Ezra Stiles,6
Jonathan Edwards,6
Pierson,6
Silliman,6
