college,score
Pauli Murray,25
Morse,20
Timothy Dwight,20
Berkeley,10
Davenport,10
Ezra Stiles,10
Saybrook,10
Benjamin Franklin,5
Grace Hopper,5
Pierson,5
Silliman,5
Trumbull,5
Branford,0
Jonathan Edwards,0
