college,score
Pauli Murray,50
Timothy Dwight,28
Pierson,25
Saybrook,20
Grace Hopper,15
Benjamin Franklin,10
Branford,10
Trumbull,8
Davenport,5
Morse,5
Ezra Stiles,3
Berkeley,0
Jonathan Edwards,0
Silliman,0
