college,score
Benjamin Franklin,25
Berkeley,18
Branford,0
Davenport,5
Ezra Stiles,33
Grace Hopper,5
Jonathan Edwards,0
Morse,20
Pierson,25
Pauli Murray,23
Silliman,5
Saybrook,28
Trumbull,30
Timothy Dwight,0
