college,score
Pauli Murray,543.5
Saybrook,444
Timothy Dwight,440
Morse,364
Benjamin Franklin,326.5
Davenport,313
Grace Hopper,312
Trumbull,286
Ezra Stiles,239
Pierson,232
Berkeley,230.5
Jonathan Edwards,200.5
Branford,197.5
Silliman,154.5
