college,score
Saybrook,38
Benjamin Franklin,24
Morse,20
Pauli Murray,20
Berkeley,18
Davenport,16
Branford,15
Silliman,10
Ezra Stiles,8
Trumbull,8
Jonathan Edwards,5
Timothy Dwight,5
Pierson,3
Grace Hopper,0
