college,score
Pauli Murray,54
Timothy Dwight,54
Ezra Stiles,36
Saybrook,36
Davenport,30
Benjamin Franklin,24
Jonathan Edwards,24
Berkeley,18
Grace Hopper,12
Morse,12
Branford,6
Silliman,6
Trumbull,6
Pierson,0
