college,score
Pauli Murray,10
Benjamin Franklin,5
Branford,5
Grace Hopper,5
Timothy Dwight,5
Berkeley,0
Davenport,0
Ezra Stiles,0
Jonathan Edwards,0
Morse,0
Pierson,0
Silliman,0
Saybrook,0
Trumbull,0
