college,score
Saybrook,54
Grace Hopper,36
Pauli Murray,36
Ezra Stiles,30
Morse,30
Silliman,30
Trumbull,30
Branford,24
Timothy Dwight,24
Benjamin Franklin,18
Pierson,12
Berkeley,0
Davenport,0
Jonathan Edwards,0
