college,score
Jonathan Edwards,35
Timothy Dwight,25
Branford,20
Grace Hopper,5
Saybrook,5
Benjamin Franklin,0
Berkeley,0
Davenport,0
Ezra Stiles,0
Morse,0
Pierson,0
Pauli Murray,0
Silliman,0
Trumbull,0
