college,score
Davenport,48
Morse,48
Pauli Murray,48
Grace Hopper,36
Timothy Dwight,30
Benjamin Franklin,24
Ezra Stiles,18
Jonathan Edwards,18
Pierson,18
Branford,12
Berkeley,6
Silliman,6
Trumbull,6
Saybrook,0
