college,score
Morse,48
Saybrook,48
Berkeley,36
Grace Hopper,30
Timothy Dwight,30
Branford,24
Pierson,24
Trumbull,24
Jonathan Edwards,18
Pauli Murray,18
Davenport,12
Ezra Stiles,6
Silliman,6
Benjamin Franklin,3
