college,score
Davenport,36
Benjamin Franklin,24
Ezra Stiles,24
Pauli Murray,18
Silliman,18
Trumbull,18
Morse,12
Saybrook,12
Timothy Dwight,12
Branford,6
Grace Hopper,6
Jonathan Edwards,6
Berkeley,0
Pierson,0
