college,score
Benjamin Franklin,24
Berkeley,6
Branford,12
Davenport,48
Ezra Stiles,18
Grace Hopper,36
Jonathan Edwards,18
Morse,48
Pierson,18
Pauli Murray,48
Silliman,6
Saybrook,0
Trumbull,6
Timothy Dwight,30
