college,score
Pauli Murray,64
Trumbull,56
Timothy Dwight,56
Berkeley,48
Benjamin Franklin,40
Davenport,40
Morse,32
Branford,24
Grace Hopper,19
Saybrook,16
Jonathan Edwards,11
Ezra Stiles,8
Pierson,8
Silliman,0
