college,score
Timothy Dwight,54
Grace Hopper,36
Trumbull,36
Branford,30
Pauli Murray,30
Saybrook,30
Benjamin Franklin,24
Davenport,18
Ezra Stiles,18
Berkeley,12
Jonathan Edwards,6
Morse,6
Pierson,0
Silliman,0
