college,score
Benjamin Franklin,48
Saybrook,48
Ezra Stiles,36
Timothy Dwight,30
Morse,24
Pauli Murray,24
Silliman,24
Trumbull,24
Grace Hopper,18
Berkeley,12
Davenport,12
Pierson,12
Jonathan Edwards,6
Branford,0
