college,score
Silliman,25
Saybrook,25
Trumbull,20
Branford,18
Pierson,15
Berkeley,10
Pauli Murray,10
Jonathan Edwards,8
Benjamin Franklin,5
Davenport,5
Grace Hopper,5
Morse,5
Timothy Dwight,5
Ezra Stiles,0
