college,score
Ezra Stiles,33
Trumbull,30
Saybrook,28
Benjamin Franklin,25
Pierson,25
Pauli Murray,23
Morse,20
Berkeley,18
Davenport,5
Grace Hopper,5
Silliman,5
Branford,0
Jonathan Edwards,0
Timothy Dwight,0
