college,score
Davenport,77
Pauli Murray,71.5
Pierson,66
Timothy Dwight,66
Morse,55
Trumbull,55
Grace Hopper,44
Saybrook,44
Benjamin Franklin,27.5
Jonathan Edwards,27.5
Ezra Stiles,22
Berkeley,16.5
Silliman,16.5
Branford,5.5
