college,score
Pauli Murray,64
Benjamin Franklin,60
Morse,52
Saybrook,48
Trumbull,44
Timothy Dwight,44
Ezra Stiles,36
Grace Hopper,28
Silliman,16
Berkeley,12
Jonathan Edwards,12
Pierson,8
Branford,0
Davenport,0
