college,score
Jonathan Edwards,40
Berkeley,30
Benjamin Franklin,25
Davenport,25
Grace Hopper,25
Pauli Murray,15
Branford,10
Saybrook,10
Trumbull,10
Timothy Dwight,10
Ezra Stiles,5
Morse,5
Pierson,5
Silliman,5
