college,score
Saybrook,302
Pauli Murray,283.5
Timothy Dwight,256
Morse,209
Grace Hopper,192
Benjamin Franklin,168.5
Davenport,159
Ezra Stiles,154
Trumbull,143
Pierson,118
Silliman,98.5
Berkeley,90.5
Branford,83.5
Jonathan Edwards,83.5
